time,Q,s,T
2008-10-28,-2.944952,0.0,0.0
2008-10-29,-2.888318,0.0,0.0
2008-10-30,-2.944952,0.0,0.0
2008-10-31,-2.548516,0.0,0.0
2008-11-01,-2.180397,0.0,0.0
2008-11-02,-2.237031,0.0,0.0
2008-11-03,-2.321981,0.0,0.0
2008-11-04,-2.406932,0.0,0.0
2008-11-05,-2.463566,0.0,0.0
2008-11-06,-2.350298,0.0,0.0
2008-11-07,-2.208714,0.0,0.0
2008-11-08,-2.180397,0.0,0.0
2008-11-09,-2.095447,0.0,0.0
2008-11-10,-2.265348,0.0,0.0
2008-11-11,-2.15208,0.0,0.0
2008-11-12,-2.293665,0.0,0.0
2008-11-13,-2.463566,0.0,0.0
2008-11-14,-2.463566,0.0,0.0
2008-11-15,-2.491883,0.0,0.0
2008-11-16,-2.378615,0.0,0.0
2008-11-17,-2.293665,0.0,0.0
2008-11-18,-2.60515,0.0,0.0
2008-11-19,-2.860002,0.0,0.0
2008-11-20,-2.888318,0.0,0.0
2008-11-21,-2.944952,0.0,0.0
2008-11-22,-2.237031,0.0,0.0
2008-11-23,-2.265348,0.0,0.0
2008-11-24,-2.435249,0.0,0.0
2008-11-25,-2.208714,0.0,0.0
2008-11-26,-2.321981,0.0,0.0
2008-11-27,-1.925546,0.0,0.0
2008-11-28,-1.52911,0.0,0.0
2008-11-29,-1.500793,0.0,0.0
2008-11-30,-1.557427,0.0,0.0
2008-12-01,-1.840595,0.0,0.0
2008-12-02,-2.15208,0.0,0.0
2008-12-03,-1.897229,0.0,0.0
2008-12-04,-1.359209,0.0,0.0
2008-12-05,-1.217624,0.0,0.0
2008-12-06,-1.217624,0.0,0.0
2008-12-07,-1.330892,0.0,0.0
2008-12-08,-1.274258,0.0,0.0
2008-12-09,-1.330892,0.0,0.0
2008-12-10,-1.415842,0.0,0.0
2008-12-11,-1.245941,0.0,0.0
2008-12-12,-1.302575,0.0,0.0
2008-12-13,-1.302575,0.0,0.0
2008-12-14,-1.104357,0.0,0.0
2008-12-15,-1.245941,0.0,0.0
